post,response,emotion
there s a problem with that .,what s the problem ? ?,0
you re giving them to me ?,i m afraid not . .,2
you wouldn t do a thing like that !,yes i am .,3
of course . how about you ?,i ve already voted . .,0
i m afraid she s going to walk .,really ? he has a lawyer though .,4
yes . i can lend you some .,thank you . i m not joking .,0
excuse me i need your assistance .,sure what s up ? ? .,0
i hope you got your money .,so what are you trying to go ?,2
how many is a few ?,about words a job .,0
what kind of work are you doing now ?,i m engaged in accounting .,0
do you want to talk ?,yes i do . .,2
yeah you re right .,and how s your favorite manager ?,0
what can i do for you today ?,i need to return a book .,0
oh it s really popular these days .,thank you for your compliment .,0
sam ! what a surprise !,and a storm blew our roof away .,4
it s free to all .,you are so kind of you .,4
what is it you need me to do ?,i will be there yet . you want,1
then we ll die .,ok . this is the best of the,3
evan stop ! you re gonna kill him !,yes . he has a promotion .,2
you re in berths and a .,can i find it ? ?,4
did you have a good trip ?,on the whole not too bad .,0
that s where we re all going .,i don t like going to do that .,0
no i don t think so .,glasses ? and give me a movie .,0
but thank you very much all the same .,sorry i couldn t help you . .,3
here take my credit card .,just sign here please . . .,0
and in your eyes ?,actually i think . it is .,0
may i help you ?,i d like to book a room please .,0
you don t want to know .,really ? and nothing please .,4
is this finished yet ?,yes . the number is mr jones .,4
that s it . . .,do you have your library card ? ?,1
not being partial are you ?,i m throwing a party on friday .,0
may i see your passport please ?,certainly . here it is . .,0
hi can i help you ?,yes . we have reservations .,0
that s a picture of me in japan .,i will wait for my work .,2
in yuan or yuan would be fine .,here s the cash for you . .,0
i told you i quit .,what did you say ? ?,3
pleasure is mine .here s my card .,thank you this is mine . .,0
don t you live somewhere ?,yes we do . here .,2
are they filed alphabetically ?,no they are filed according to dates .,0
i m leaving you jake .,is that right ? i ll come again,2
you want to dance ?,yeah ? out is economics .,4
you going to have the time ?,yes . that is it .,0
this isn t funny !,yes it is . ?,2
there isn t much time !,i don t know what to do .,4
i love anything with chocolate the best .,i like chocolate myself .,0
on three ? you call it .,thank you . yuan for your help .,4
you really think i m attractive ?,yeah . to be fine .,2
well when were you planning on doing that ?,i learned back in tuesday .,0
she held that against you ?,yes . is there any other year .,2
i thought you were in a meeting ?,yes i think do you have a new one,2
may i help you ?,i d like to book a room please .,0
are you close with them ?,yes they are . .,0
i suppose i do .,the climate here is pleasant . .,0
we re not sure .,i don t know but i could .,2
what is your salary now ?,my present pay is rib yuan each month .,0
i wish to say something .,what do you mean by tomorrow ?,4
how many stops are there ?,six per day and three and shoes .,0
call it in i guess . why ?,you should go that to go . .,1
okay . did you get the yahoo id ?,yes . for lunch .,0
i don t think this is fresh .,oh that s my opinion .,0
i m serious have you ?,no i haven t . why ?,0
come on . one more time .,so what s the problem ? ?,0
yeah i take this bus all the time .,sounds better after you . .,0
who brought me in here ?,this is the private park .,2
you sure you re okay ?,yes i am . to miss you .,4
oh is the play over ?,yes the very is very fast .,0
is that a promise then ?,yes . .,4
let me get you a cup ?,yes i am . to be every night,4
why shouldn t i ?,because you can go to the airport .,3
so is this like a japanese restaurant ?,yes it is full worth worth the robbery .,0
turn it off . . . .,yes it is very easy like .,2
is there a problem ?,i don t think you guys have it .,4
that sounds like a great idea !,would you be interested in joining me ?,1
are you telling us a lie again ?,i will be hanged if i lying .,0
ask him . i don t know .,. . . . .,1
would you please recommend a diamond for me ?,ok . for coming . .,0
when d you get here ?,next week .,2
that s always fun to be .,i m still sorry today . .,2
where are you going ?,i ll accompany my wife to the hospital .,2
what happened to me ?,i think the cover leave not .,3
but i gave it to you !,you are so ! ! !,2
what are you going to do ?,i m working here . . .,2
i wasn t feeling well .,no . they ve got a fast .,2
someone tell me this is really happening .,it s the most important thing to save .,3
what would you like sir ?,what would you suggest ?,0
is there anything else sir ?,i am afraid not .,0
what have i done ?,on the dog just robbed me .,4
what makes you think i could do that ?,i was fired . my hair looks too,3
yes . they usually do it .,do they charge for that ? ?,0
well we went to a dance club .,did you have fun there ? pot pot,1
well someone s gonna find them .,and there are some seats in bermuda .,2
can it wear well and keep its shape ?,it s about weeks .,0
why do you think he s dead ?,he looks very exciting .,3
thank you for coming .,you re welcome . my baggage is out,0
what can i help you with ?,i need to file a complaint .,0
come on stand still .,so what s the problem ? that ?,2
i need to buy some fruit .,that s okay . . .,0
and she is thin isn t she ?,well just a little thin .,0
no wonder ! who is the bridegroom ?,i don t know . .,0
that s it ? yes . fine ?,that s what i think .,0
tom you re my good friend right ?,sure what s up ? to the interview,4
it s saturday a great weekend .,ur you really let me down .,0
this is wrong in so many ways .,i can t wait to see it .,4
john have you ever watched beijing opera ?,yes i watched once .,0
what do we do now ?,how about the mongolian and learn ?,1
what re you going to wear today ?,i ll check off at the morning .,0
that s way too low .,then what s your rate ?,0
yeah man it really tied the room together,why ? the same to the police .,4
you have to go and fix it .,yes . i will . .,0
that can t be right !,that s what my computer is showing .,0
please call us if you change your mind .,i will good luck . to be .,0
is there any thing else sir ?,no that s all .,0
what are you trying to do to me ?,i want to go to malibu beach .,3
talking to you . . .,a second ? that s unbelievable . !,2
can you make it much cheaper ?,it s my watch .,0
i m very glad to hear that .,what s your best price for that item ?,0
i m actually in school right now .,what do you need ? for me,0
morning lee . how are you ?,very well thank you .,0
what time will you be back ?,i ll be back at the table .,0
ok see you o clock next monday !,that s fine . see you then .,3
how are you doing ?,great . thanks for asking . .,1
uh i m gonna kill myself !,hi ! how s your normal salary ?,0
that s a lot of money !,i love it ! how about you ?,0
sometimes you just have to,i voted for him . .,4
we think the price is too high .,that s the best price we can offer .,0
i want my car .,why is that ? ? please ?,4
you re a bank robber ?,yes i am .,2
we have a lot of work to do .,i don t know .,3
kate you never believe what s happened .,what do you mean ? ?,0
let s go let s go !,but i ve got to work at the airport,2
do you mind if i sit here ?,no of course not . go ahead .,0
not pure evil . that s correct .,why not ? what s the problem ?,3
he was a . . .good lover ?,yes he was . for me .,2
go ? u where u are we going ?,i have a letter in the hours .,0
when may i ask ?,on th may . . .,0
w wait a minute wait a minute .,good night then ! . it,4
don t call me brother .,i m sorry . .,4
no . you don t .,i m sorry .,2
i really want to make something for dinner .,what would you like ? ?,0
the suit will stretch . you should try it,i really like that . .,4
either way works for us . . .,thanks . for my help .,3
so why didn t we ?,we ve been sick for my vote .,2
you gave them the eight billion .,really ? i ve get the friends .,4
that s what you said before .,i think you saw the newspaper .,3
terrific ! when are you moving in ?,i m in sure . . .,0
they need to run first and second ?,not yet . this is a busy .,2
i m on my way to work .,where do you work ? ? .,0
oh it s nothing to speak of .,no seriously . i m impressed .,1
where d you read all that stuff ?,it s on the deal .,0
yes i am looking for a coat .,do you have a cold ? ?,0
how were things between you and frank ?,i went to paris . . .,3
great i want it spicy .,why ? it looks good .,0
that s always been my problem .,i appreciate your library card . ?,0
in three months or so ?,you said the same thing three months ago .,0
you don t look it .,well i want to tell her .,2
swear on my life .,what s the matter ? you ?,2
trust me it s her !,and her re very intelligent .,2
oh yes . on the pier .,thank you .,0
i want to meet them .,how about this city ? ?,2
then what d you come here for ?,i need to check in an absentee ballot .,2
not enough vodka in it .,do you know that ? ?,2
i didn t have time .,you should do sports ! !,2
i love your outfit right now .,well i think you look nice today too .,1
you know what i think ?,your vote and housing work and shoes .,4
what do you mean ?,sometimes the traffic is too busy .,1
where are you going ?,i ll accompany my wife to the hospital .,2
been over to the other mill ?,yes . i have to change a day,3
outlets have more reasonable prices .,thank you for your help .,1
what have i done ?,on the dog just robbed me .,3
what makes you think that ?,it looks great . to relax .,2
when will you be leaving ?,when will you be convenient for tomorrow ?,0
certainly . who should i say is calling ?,this is tim . hunter from hunter industries .,0
fantastic ! how was that ?,really good ! you should try it sometime .,0
nick alex how are we today ?,oh fine . .,3
you re dancing so well .,you dance beautifully too . .,1
it s freezing out .,i see . what is the price of me,3
couldn t be better . and you ?,just as usual you know .,0
what name is the reservation under ?,my name is paul .,0
it doesn t matter how much .,what are you doing to raise money ?,0
thanks . and how are your parents ?,they re both very well thanks .,0
did you work with him keith ?,yes i did . how about ?,2
i m her husband .,what s her figure ? !,4
i put her to bed .,i can t believe it .,1
i suppose i do .,the climate here is pleasant . .,0
that s a switch .,i m serious have you ? ?,0
of course ma am .,i m excited to hear that . .,0
that dog was mean before i met him .,did he get him ? ?,1
and a little ice .,can you miss us with me ? ?,3
yes . in that order .,good . that s the way .,4
that s the boy .,what do you mean ? ?,2
i m alone on this . . .,oh what s the matter ? ?,1
why are there so many ?,it s the most weather will . .,0
man what re you saying ?,i m in the middle business .,3
what can i help you with today ?,i need to check out this book .,0
can i get a beer .,do you need anything else ? ?,0
hey where d you go ?,no the tv was at the moment .,2
you re free to leave .,i m so excited . .,0
what re you trying to say captain,i m glad to say but it s nothing,2
oh so you re that dr . johnson .,thanks for your help .,4
that s why you built this ship ?,i hate going to parties .,0
as long as they re dead . . .,they didn t be healthy .,0
you should get plenty of sleep .,i drink a lot of wine .,0
why aren t you at work ?,i called in sick .,1
where shall we go for dinner ?,we have a computer trip .,2
hey it is my pleasure .,what are your salary expectations ? ?,4
dog i have found the cash !,do you have any plans ? ?,2
it s almost ten o clock .,i m sorry .,4
i think i better take you home .,so you should ? . .,1
yes of course money !,i love japan the same ! !,4
yeah . she is pretty good .,why is that regarding or short ? ?,4
you know about david and new boss .,sorry i don t quite follow you .,0
i haven t a clue .,you re so kind . ?,4
the man who hired me for this contract .,oh that s too expensive . .,0
we gotta do something .,i think so . . .,4
it costs to buy a monthly pass .,i see . what does does there ?,0
no i haven t .,have you got any wine or spirits ?,0
what can i do for you ?,i need to return a book .,0
i would if i could .,why would you like to make the payment ?,0
that s not us .,what do you mean by us ? ?,3
anybody know about that car outside ?,uh . out and meet step .,3
let s get away from here .,i m here from that . .,1
what s your rate ?,i need to find a copy with thorough words,0
i m not sure .,you should know that already . .,1
yeah . give me a chocolate bar also .,how about words a movie or digital ?,0
really ? let me check it .,yes . i am very living .,3
have you taken your driving test yet ?,yeah . i fed them here .,0
he s a captain .,he must be very brave . .,0
you think he s drunk somewhere ?,i didn t think about him so long .,4
i like alternative music .,do you have a favorite band ? ?,0
good evening sir . what s your pleasure ?,. . .,0
oh . . . why ?,jennifer there s something i wanna ask you .,0
don t you believe it .,what are you going to do now ?,1
yes . we re satisfied with the result .,i hope that i can t complain .,1
may i say something mr . president ?,i m glad to meet you too .,2
hey buddy thanks for the help back there !,that s what i need for to listen .,2
do you think you ll find her ?,yes and she is out of our ?,1
you mean the kind of stuff like nirvana ?,not really . that s pretty heavy metal .,0
wanna stay with me tonight ?,you should be joking . to .,2
it ll be ready .,that s all right . t be,1
have you got any identification id with you ?,yes here s my id . .,0
how do you do ?,how do you do ? one next,1
i ve got to talk to you .,i wasn t working yet . .,2
what are you buying ?,i am reading . my hospital .,0
outlets give good deals .,thank you so much .,1
so the porsche guy took his car back .,yeah . t see and raining here .,0
i kill someone famous .,i didn t know you like her figure .,3
tell them we re working for the university .,i can t afford . i deserve .,2
. . .that d be my guess .,that s ok . it !,4
honey could you help me here a minute ?,sure what s up ? ?,0
you want me to stay here ?,yes . this is your passport .,2
just so so .you re doing all right ?,same old thing .what about a drink ?,0
did you hear a shot fired ?,no what ? i m out .,4
when will you be convenient ?,any time will suit me . you want,1
he took my snack !,he stood him up last year .,2
what dances do you like ?,i love to dance the fast music .,0
yes sam s tough alright .,and what s the matter ? ?,2
i ll have that taken care of immediately .,and may i have two more towels please ?,0
how do i look ?,you get a cold .the weather like in girls,4
maybe eve can guess . she s psychic .,can i see him ? or chinese ?,3
listen to what i say,are you working ? or early ?,3
well then how much do i owe you ?,that comes to h . k . .,0
i thought i d never see you again !,so you have another plans at the airport ?,3
oh we ve got plenty of time .,really ? i m jack .,0
jack stay away from me !,i ve actually been here . .,1
i just wanted to see how you looked .,you re talking too really . .,2
i can do that .,that s great . thanks a lot .,0
you gotta get someone upstairs .,how about one ? to me .,0
i can t eat before a game .,how come ? ?,2
ok . then i ll be expecting you .,i ll be there on time . .,0
i think they need a little trimming .,i think that s about as possible .,0
so what kind of music turns you on ?,rock n roll i guess .,0
i m looking for the cameras .,they re in aisle two . .,1
who s that then ?,it s the powell orchestra .,1
but she still might call !,i suppose you re crazy ma am .,4
yes makes you think doesn t it ?,so what happened next ? ?,0
uh huh . okay .,so what s your plan ? ?,4
talk ? about what ?,i ve already had them to college .,2
not just a patient me .,thanks for coming . !,1
please get away from me .,thanks . a lot . suit you,4
hmm . i have only one best friend .,i feel sorry for you . pot pot,0
do you know what time it starts ?,it starts at one pm .,1
you wanna bet he s with a girl ?,her girlfriend broke down . .,4
give me a shot of whisky and soda .,and what is your parents ? ?,0
it took us all day .,when will it start ? ?,0
i m good thanks .,good luck ! my pleasure .,3
and so you feel nothing .,i really wish i could . .,0
sorry y all . my bad .,you re right . have a nice card .,3
ask me why we re so successful .,then you bet is a year .,4
when will your vacation end ?,the day after tomorrow .,0
i see do you speak any other languages ?,yes i speak a little french and japanese .,0
are these your bags ?,yes they are . .,4
good afternoon sir . please sit here .,thank you . .,0
yes ? what is it ?,some more chinese tea for us please .,1
what am i gonna do ?,you can see you and hurry .,0
what about my father ?,my exam is healthy s mother .,4
yes it s henrylee yahoo .com .,how old are you ? ?,0
the baby they made up .,maybe i ll make him for me .,4
the sex is better .,i will see you on the change .,0
nobody special enough curly .,how about that ? ?,4
thanks a lot bye bye .,you are welcome bye . . ?,0
did you like it ?,yes i truly do it . .,2
your total comes to . .,put it on my visa .,0
i ll be away for a moment .,yes ? anything i can do for you ?,0
i m sorry officer .,what s your favorite group ? ?,3
have you missed a court date ?,i never went to court . ?,0
why not ? mmm ?,i wasn t feeling well .,2
and what about that man there ?,he is our accountant .,0
i don t want them to move to a,i m glad to hear that . .,0
which school is your children in ?,she is now in a private school .,0
what am i doing ?,oh you may get up in college .,4
my god . . .,what ? did you speak to america ?,2
where s your mom ?,she s at home . .,1
you re my father .,so you speak chinese often the other me ?,2
hello i d like to open an account .,i will open it . .,0
that s not my ring .,that s what i want . t ?,0
. . . no . . .,thank you . one madam .,4
hi is that jessica ?,yes . what can i do for you ?,0
so glad that you think so !,i think you deserve a promotion .,1
the ad says plus deposit .,you re not allowed to get hard .,0
take it easy you ll live longer .,thank you . the change .,2
how about the soup ?,i ve never tasted anything better .,1
aren t we all ?,yeah we have got here for the corner .,1
i don t think so .,how about going to a concert ?,1
you were supposed to help me with this .,do you have any hobbies ? ?,2
somebody broke into my house in the morning .,when did you find out ? ?,0
well then how much do i owe you ?,that comes to h . k . .,0
i don t know .,please think it over . .,4
what s with mike ?,i don t want to help .,1
did i hear a car ?,no but the police didn t be full .,3
they kid a lot .,they didn t really feel ? .,0
i saw what i saw .,why ? that is a good journey .,2
why d you do that ?,i went out in beijing .,4
what s the best way downtown ?,today is yuan . .,0
please come in steven .,all right mr . green .,0
what size do you take ?,nine orange and much money and two out and,0
a coke if they have it ?,yes they are very busy .,4
how about percent ? that s about dollars .,what s the matter ? ?,0
hey may how are you doing ?,just watching me . you re busy .,0
i have had some really horrible headaches lately .,what had your tooth had you close ?,0
is it on the shelf ?,i think it will be . .,0
yes . what size are you ?,i am a size . .,0
what hotel are you staying at ?,i am waiting and london .,2
what happened to this car ?,nothing . .,2
it s not my time of month .,you look really beautiful . .,0
i ve just started doing my clothes here .,so what s your name ? ?,0
i didn t see you this morning .,you should do sports off . !,1
not if i m the one .,what do you need ? ? ?,4
gino do you really need to go ?,yeah it s must for me . .,0
i m leaving on november th .,isn t it time for you ? ?,0
do you have anything to declare ?,no i don t . .,0
i don t know .,please think it over . .,1
well how how come ?,well just fine . you are .thanks .,0
what do you do ?,i m a podiatrist . what about you ?,3
i have a place for that .,i don t mind . some madam .,0
here s eight dollars . keep the change .,thank you very much . yuan !,0
then where is it ?,it s at the park of the street .,3
i m going to get a doctor .,i really appreciate it . .,4
he sure is big jack . . .,really ? he makes me . .,2
i have it . here you go .,you have to be here . .,0
thank you for your time,you re welcome . my id .,4
who s your daddy !,i can t believe that ! !,3
can you exchange this for us dollars please ?,what do you mean ? us ?,0
my mother is not dead !,what are you most about ? ?,3
why did you do it ?,i went t music in music .,2
mother ? but your mother,yes it is my mother .,2
because you know why . you know .,i want to try something exciting . .,3
it s all here .,here s the receipt . .,2
didn t they tell you ?,you ve got to america right next year .,3
i m looking for this book .,is there something wrong ? ?,0
really ? do i have to do it ?,not if you don t want to .,0
and how were things ?,i quit that . after you .,0
it s nearly half past seven .,my watch says ten past .,2
either way . i don t care .,how about a snack after work ?,0
dude this isn t funny !,yes it is . .,4
you sure this will work ?,yes . in for p .,4
how d we do ?,great . or dollars and call ?,0
by the way how long does it take ?,without traffic it takes a garage sale apartment .,0
we all keep our shoes on indoors .,where are your parents ? ?,0
i d put you there myself .,okay that s great . .,1
why don t you call him ?,he is too intelligent . .,2
have you no shame ?,yes i have . .,2
what is it ? what s the matter ?,i m feeling a backache .,2
i want someone to talk to . . .,i will get this voting . .,4
how often do the buses run ?,three times a day . .,0
what size are you looking for ?,four per night .,0
you think you know me so well .,you re so too . .,0
don t you believe me ?,not really . . .,4
that was for christmas .,thanks for coming it was . .,4
you coming up on him ?,yes . ? .,4
i know you didn t,well you meet you well recently . !,0
alright do you have the receipt ?,yes i ve got my checking .,0
really . how wonderful for you .,so let s get up ? .,3
no but we re trying to contact them .,i suppose you re right .,0
turn the power of the hunter against him .,really ? he is always too .,3
it is my only object .,could you tell me your girlfriend s check ?,0
harry ? harry where are you ? !,no i m not too .,1
there are three my parents and i .,do you live together ? ?,0
i like you too .,we can play together in a candidate .,2
pointing this one here .,ah yes . there s big cavity .,0
i doubt that s what she d say .,i m glad to hear that .,2
and what do you tell yourself now ?,i m not sure .,1
