post,response,score,emotion
how much more are you thinking ?,we drive only to drive four .,0.7869558019770516,0
how much more are you thinking ?,we re only a couple pounds dollars .,0.906130439043045,1
how much more are you thinking ?,let s get enough dollars .,0.8836728855967522,2
how much more are you thinking ?,a couple four days .,0.807962851864951,3
how much more are you thinking ?,a couple four days .,1.03383669257164,4
don t you u dare u .,i m i don t .,0.9420514558441936,0
don t you u dare u .,u i m die .,0.9047777812395777,1
don t you u dare u .,u i m die like .,0.6324741058051586,2
don t you u dare u .,u just don t say .,0.7402710262686014,3
don t you u dare u .,i m die i feel die .,0.6564427821172608,4
how about going swimming ?,ok . where should we go ?,0.11988995938251416,0
how about going swimming ?,ok . where will we go ?,0.30567578102151555,1
how about going swimming ?,aye . where will we go ?,0.8368822229094803,2
how about going swimming ?,ok . where will we go ?,0.4816726216425498,3
how about going swimming ?,aye . where should we go ?,0.6525398212381535,4
i m going to wait in the car .,why don t you take your first ?,0.7001190639100969,0
i m going to wait in the car .,no . you re a bet .,0.7018387214177184,1
i m going to wait in the car .,no . you re a bet .,0.6106356411344476,2
i m going to wait in the car .,i ll be you to . a you .,0.7334442670372412,3
i m going to wait in the car .,what s t you to stay in there ?,0.8914185003800825,4
tell me about it .,they might actually win the game .,0.7009348215975074,0
tell me about it .,what s she win ?,0.6089126552854266,1
tell me about it .,i got big doing though .,0.7408372350037098,2
tell me about it .,he s just doing though .,0.4720892333425581,3
tell me about it .,i got big doing though .,0.45305934315547347,4
can i help you ?,yes i m looking for hamburger please .,0.8369233475998044,0
can i help you ?,yes thanks . for . a,0.5766413621604443,1
can i help you ?,yes i . need . a .,0.8412905136744181,2
can i help you ?,yes . you need . a,0.8692034357227385,3
can i help you ?,yes i . m . a,0.9412307776510715,4
no . i never date outside my race .,what do you know ?,0.3546153254818429,0
no . i never date outside my race .,what do you know ?,0.2608992735996643,1
no . i never date outside my race .,what do you mean ?,0.2251354699089591,2
no . i never date outside my race .,what you know ? how s on,0.45052407185236615,3
no . i never date outside my race .,what did you know ?,0.15586033989010112,4
yes . that is why i m here .,are it too of me ?,0.514955964506953,0
yes . that is why i m here .,congratulations . i re too shit too .,0.6051508932017896,1
yes . that is why i m here .,there s too more back,0.5935504819665637,2
yes . that is why i m here .,there s too minutes back ?,0.9328163368627429,3
yes . that is why i m here .,there s too minutes of,0.886820234890495,4
what does that sign say ?,what are you doing ?,0.4010854624211788,0
what does that sign say ?,what are you doing with ?,0.6589892858173698,1
what does that sign say ?,you mean if she s .,0.7676892317831516,2
what does that sign say ?,what told you mean ?,0.698819178555693,3
what does that sign say ?,you mean told with it .,0.8128348533064127,4
i m majoring in english .,is it like to learn ?,0.16417608009214746,0
i m majoring in english .,is it like to learn ?,0.21296161185728124,1
i m majoring in english .,is it difficult or learn ?,0.2869351138210732,2
i m majoring in english .,is it difficult to learn ?,0.5010588496734272,3
i m majoring in english .,is it like or that ?,0.3687689006328583,4
thank you very much .,you re right . have a nice day .,0.5554768634452578,0
thank you very much .,i am really excited for you .,0.5624933438892994,1
thank you very much .,really are you for a grip ?,0.9668481809397539,2
thank you very much .,i are right i are grip .,0.8782584998342726,3
thank you very much .,i m right for a grip .,0.8273750125534005,4
one that won t grow up too big .,i mean that was too mom .,0.5980286813444562,0
one that won t grow up too big .,you mean that even t you,0.5985116753727198,1
one that won t grow up too big .,i mean it doesn t .,0.7507869912078604,2
one that won t grow up too big .,you mean that even me .,0.6224792841821909,3
one that won t grow up too big .,oh it t even happen .,0.638989623170346,4
yes it seems that way to me also .,what do you mean the then ?,0.5493773263361719,0
yes it seems that way to me also .,but what was you ?,0.4210208292518343,1
yes it seems that way to me also .,i was the way you was,0.6541302539408207,2
yes it seems that way to me also .,but i was the way to,0.5549833197146654,3
yes it seems that way to me also .,i was the way to,0.6705905324114221,4
sprite with ice please .,could i have anything with please ?,0.5489981340037452,0
sprite with ice please .,sure . thank me .,0.4635509587159114,1
sprite with ice please .,sure . would d .,0.8082880627896104,2
sprite with ice please .,all right . would you like for,0.7932669305139117,3
sprite with ice please .,sure you can have .,0.6651092384542737,4
george you look terrible .,where are you done ?,0.5579772623189326,0
george you look terrible .,hey hello . look .,1.3201676325074263,1
george you look terrible .,thanks . and . you .,1.6021777465939522,2
george you look terrible .,not again . never .,0.7736522318529231,3
george you look terrible .,hello . and what .,1.10430296510458,4
what s going on ?,i don t know .,0.733884892293385,0
what s going on ?,he was here . watching us .,0.3708432362311416,1
what s going on ?,we re under attack alright !,0.7712999954819679,2
what s going on ?,he lighter under attack !,0.6967383112226214,3
what s going on ?,i lighter under attack watching !,0.7198316417634487,4
that man s really a bore to me .,okay . a question .,0.47756525448390413,0
that man s really a bore to me .,bob s probably dead .,0.7733886023717267,1
that man s really a bore to me .,and a dead question ?,0.7584272431475776,2
that man s really a bore to me .,you re a little question .,0.621232159435749,3
that man s really a bore to me .,and why call me a question ?,0.8037561503523547,4
hey hey y know what ?,no let s tell her .,0.5522148036397994,0
hey hey y know what ?,i told her up !,0.611818545631,1
hey hey y know what ?,i told you how knows .,0.8041861802339554,2
hey hey y know what ?,i told you how !,0.7419598209006446,3
hey hey y know what ?,it s a best !,0.7600255118949073,4
where is it ? this place ?,it s it s it baby .,0.941311911576324,0
where is it ? this place ?,my body it s on it !,0.6507669636048377,1
where is it ? this place ?,it s still dead .,0.6180781583700862,2
where is it ? this place ?,may it take it ?,0.7751013402427945,3
where is it ? this place ?,it s it s . it,0.6396819578949362,4
perhaps you d be interested in red roses .,yes i was like before .,0.6198657675413415,0
perhaps you d be interested in red roses .,yes i wanted t .,0.4122777171432972,1
perhaps you d be interested in red roses .,yes thinking was of that yes .,0.921368153921018,2
perhaps you d be interested in red roses .,why didn t you be,0.548449294641614,3
perhaps you d be interested in red roses .,yes but i wanted one in children .,0.5935196638834895,4
they weren t supposed to arrest me .,people thought i wasn had the people .,0.6746458217792679,0
they weren t supposed to arrest me .,people . i heard of was people .,0.7628481007530354,1
they weren t supposed to arrest me .,people didn t ve had of people .,0.4356703876517713,2
they weren t supposed to arrest me .,people didn t wasn to of people .,0.5871948021929712,3
they weren t supposed to arrest me .,i didn t ve had they people .,0.5293656397610903,4
is that all you need ?,i also need to check these books out .,0.14507101386268254,0
is that all you need ?,i also need to check these books out .,0.14998087746277056,1
is that all you need ?,i need you to check my books money .,0.705246358184509,2
is that all you need ?,i also need to check these books,0.46530560817983413,3
is that all you need ?,i m need to ask my books out .,0.6895467448737856,4
that s what i charge .,so do you finished eating mine ?,0.7466362296836451,0
that s what i charge .,and it t you hinkel time ?,0.9005775087409549,1
that s what i charge .,did you always get hinkel ?,0.6097760323609691,2
that s what i charge .,so have you get hinkel else ?,0.8245458188984128,3
that s what i charge .,do you always get hinkel ?,0.5517934616655111,4
about two hundred and fifty miles .,he must have a place one .,0.5860711816284392,0
about two hundred and fifty miles .,we have to have a one .,0.6787344747119479,1
about two hundred and fifty miles .,he s got that while .,0.8359041670337319,2
about two hundred and fifty miles .,we must got a place .,0.9887909144163132,3
about two hundred and fifty miles .,we do got a while .,0.6544700376689434,4
with those camera lights and . . .,they kind t a to of .,0.8209789709912406,0
with those camera lights and . . .,you really remember of me of .,0.7593537287579643,1
with those camera lights and . . .,you sign with them off of them .,0.9811214298009873,2
with those camera lights and . . .,give me know of them company earth .,1.1438575575710275,3
with those camera lights and . . .,some day of me . me them .,0.7549321389291436,4
excuse me for taking your time .,it s nothing navy .,0.13316652370018087,0
excuse me for taking your time .,it s it navy .,0.3197177254062678,1
excuse me for taking your time .,oh . it s .,0.4387520730628499,2
excuse me for taking your time .,oh it s nothing .,0.5238943209073373,3
excuse me for taking your time .,oh it s free .,0.5519223776645958,4
it s awfully quiet around here .,it s so really s today .,0.43386125957800276,0
it s awfully quiet around here .,well it s a problem today .,0.5371262195209662,1
it s awfully quiet around here .,you think it s today a,0.9435679391026497,2
it s awfully quiet around here .,you know so much today .,0.6295949976192787,3
it s awfully quiet around here .,you think that s getting today .,0.6446826281155356,4
i don t know .,please think it s .,0.694113722869328,0
i don t know .,what do know gut ?,1.0874960869550705,1
i don t know .,is you t know .,1.1887103574616569,2
i don t know .,i think you do .,1.2571672669478826,3
i don t know .,why do you know .,1.2654951981135778,4
how far up the trail ?,it s . year .,0.7519451965843993,0
how far up the trail ?,only s three minutes .,0.9762609228491783,1
how far up the trail ?,only me three miles .,0.960182791259805,2
how far up the trail ?,three . it s all hours .,0.9407344809021905,3
how far up the trail ?,six miles . it re all .,1.258330797155698,4
they re so precious when they re asleep .,i m price home .,0.5529176039355141,0
they re so precious when they re asleep .,i m eight game on that eight .,0.9842358492314816,1
they re so precious when they re asleep .,i m eight in .,0.7262835928371975,2
they re so precious when they re asleep .,i m eight in the eight .,0.756017979234457,3
they re so precious when they re asleep .,i m under in .,0.6869841340397086,4
so we better get started .,all . how much ?,0.5222633630037308,0
so we better get started .,right . darling you .,0.6097140680732471,1
so we better get started .,thanks . darling kinda ?,0.7773402407765388,2
so we better get started .,yeah . darling kinda ?,0.586959397154195,3
so we better get started .,right . how kinda ?,0.5982385192598615,4
take my word for it .,where is it damage ?,0.5600931154830115,0
take my word for it .,where are we better ?,0.7398511213915688,1
take my word for it .,no it s just on your man .,0.6510971107865771,2
take my word for it .,where ? where can we do it ?,0.6814913053705822,3
take my word for it .,did you run out your door ?,0.6774694532569911,4
what s wrong available ?,we have a to book of .,0.8486295568032397,0
what s wrong available ?,i have still get to be .,0.9715861284898387,1
what s wrong available ?,i do with book .,0.9325757069247109,2
what s wrong available ?,i do you book to leave this,0.6934971453415023,3
what s wrong available ?,i do still book .,0.6994312763480204,4
is this taxi taken ?,no madam . may you help you ?,0.13373366105370224,0
is this taxi taken ?,no madam . may to help you ?,0.48158336191117995,1
is this taxi taken ?,no madam . may i help you ?,0.3587398062692955,2
is this taxi taken ?,no . may i go to you ?,0.5652152071415912,3
is this taxi taken ?,er ? may i help you ?,0.9839689585205633,4
where s your brother ?,i left her right away .,0.5957774269627407,0
where s your brother ?,i left her at him .,0.6865132811508374,1
where s your brother ?,i d t find right now .,0.8358989536969198,2
where s your brother ?,i d going her right .,0.6989710466586985,3
where s your brother ?,i d going of him .,0.6022513878997415,4
but it was u him u,not should i was better before .,0.8587916692097983,0
but it was u him u,u that was fucking .,0.902452255998339,1
but it was u him u,not on more . should needed come .,0.828735089150723,2
but it was u him u,all on the mean the .,0.9940930157899857,3
but it was u him u,what was the mean come ?,1.0503397304564714,4
ever been in a place like this before ?,no . have don t have .,0.6695246450189087,0
ever been in a place like this before ?,no . he t .,0.6063304846840245,1
ever been in a place like this before ?,it have a but .,0.6803981018518763,2
ever been in a place like this before ?,no . he t .,0.7228609145219836,3
ever been in a place like this before ?,it s . have .,0.862902547631945,4
hello mr . black how are you ?,i m fine . how doing ?,0.4987885964413484,0
hello mr . black how are you ?,fine . how about you doing ?,0.3544018877049287,1
hello mr . black how are you ?,fine . and how are you ?,0.5660641946726375,2
hello mr . black how are you ?,harry . where are you doing ?,0.7072866721492674,3
hello mr . black how are you ?,harry . where are you doing ?,0.6328353703849845,4
i m feeling down .,you hope for new for me .,0.5910252879063288,0
i m feeling down .,you hope for happy for me .,0.6477061783274015,1
i m feeling down .,you hope for new with me ?,0.914148168431388,2
i m feeling down .,you re too good for me ? .,0.7747108198702335,3
i m feeling down .,you hope for new with me . ?,0.6746584464708576,4
by american express if that s ok .,there s all more up there ?,0.8007268003291553,0
by american express if that s ok .,to only up more date .,0.7027175351977348,1
by american express if that s ok .,to only up to up .,0.8886838518083096,2
by american express if that s ok .,to only here s up there .,0.7935234374470181,3
by american express if that s ok .,to only up more .,0.9894719294139317,4
she s down . help her . . .,i love her . i love .,0.9038892686367035,0
she s down . help her . . .,i love her to tell her .,0.669080892422547,1
she s down . help her . . .,she s to be .,0.9782066483582769,2
she s down . help her . . .,she s to be to,0.7994423125471387,3
she s down . help her . . .,i love her to tell .,0.8265663394704461,4
one . in case . . .,keep away . what s ?,0.8148081646068022,0
one . in case . . .,now she s t .,0.8308750252638545,1
one . in case . . .,who s your name .,0.7554743901959488,2
one . in case . . .,what s me . ?,0.8850768889699664,3
one . in case . . .,now she s wrong .,0.906576294169229,4
where do you live ?,in london .where do you live ?,0.0937949173417615,0
where do you live ?,i told you with my mother .,0.4103187199475037,1
where do you live ?,in london .where do you mean ?,0.8213402669773333,2
where do you live ?,in my door with my mother .,0.8207061214941657,3
where do you live ?,i live in my business club ?,0.8888305251797042,4
are you all right ?,fine . together again huh ?,0.34466014220379293,0
are you all right ?,yeah i m all right .,0.7618915347848088,1
are you all right ?,i think i busted my .,0.7820359971374273,2
are you all right ?,nyu . i busted my .,0.8195782490074635,3
are you all right ?,i m a first sick .,1.0077497344464064,4
what makes you say that ?,today i m told i failed three courses .,0.4453689628916519,0
what makes you say that ?,just thinking out loud .,0.1020193730614015,1
what makes you say that ?,i could see she likes your voice .,0.49835314185475,2
what makes you say that ?,i could thinking she likes me .,0.888770959029595,3
what makes you say that ?,i think i told likes you .,0.6062528590361277,4
now that was worth waiting for .,maybe just made my more .,0.9610756571637467,0
now that was worth waiting for .,did you made it ?,0.6814306335789817,1
now that was worth waiting for .,did you afraid it ?,0.4676888309685247,2
now that was worth waiting for .,did you get afraid ?,0.7551040697310653,3
now that was worth waiting for .,we wanted to be okay .,0.565587749471888,4
what can i do for you ?,i need to transfer a .,0.5910811596550047,0
what can i do for you ?,i need to transfer ?,0.5449592854295459,1
what can i do for you ?,i m linda make .,0.6314122598352176,2
what can i do for you ?,i m to make a,0.7454346232116222,3
what can i do for you ?,i m hoping make a,0.8342734075683568,4
will this be cash or charge ?,here take my credit card .,0.07354612401104532,0
will this be cash or charge ?,here take my credit card .,0.18587881614803337,1
will this be cash or charge ?,here need to get .,0.6820186275456633,2
will this be cash or charge ?,here need to get .,0.5249188896268606,3
will this be cash or charge ?,. this is good .,0.8561656432492393,4
i don t believe it .,what s your matter ?,0.43603111510830267,0
i don t believe it .,what s your matter ?,0.42636388540267944,1
i don t believe it .,what s the matter s true ?,0.7231828417732484,2
i don t believe it .,what s the matter ?,0.21363154958401406,3
i don t believe it .,what s the matter about,0.5496851333550045,4
why doesn t he ask her ?,he is too scared to ask her .,0.22098691044375302,0
why doesn t he ask her ?,he is too only to kill her .,0.7544238303788007,1
why doesn t he ask her ?,he is . he don t ask him .,0.9160973072391078,2
why doesn t he ask her ?,he was too scared to ask her .,0.5898582790512592,3
why doesn t he ask her ?,he is too scared to ask,0.5819880648050457,4
do you want to settle the bill now ?,yes i know so .,0.42224577335374697,0
do you want to settle the bill now ?,i don t know that .,0.6414787259418517,1
do you want to settle the bill now ?,i don t better .,0.7926533626658576,2
do you want to settle the bill now ?,i really think so .,0.6746210361099136,3
do you want to settle the bill now ?,if i . better .,0.6125051001352924,4
of course . but only on monday nights .,okay i m late .,0.5661919856710094,0
of course . but only on monday nights .,thanks . hurry on then .,0.6059756046633993,1
of course . but only on monday nights .,then i ll see you .,0.8068108020815998,2
of course . but only on monday nights .,okay . see you .,0.6704025843313762,3
of course . but only on monday nights .,thanks . too night .,0.6837737554285143,4
i want to ride my own bike .,you need to be charge !,0.7069286780897528,0
i want to ride my own bike .,you ve want the way !,0.5325076648732647,1
i want to ride my own bike .,you ll end . ?,0.6725178275789533,2
i want to ride my own bike .,you ll end the way !,0.636304059997201,3
i want to ride my own bike .,are you end with it !,0.9548850171267986,4
where did you hit her ?,i had t work . work .,0.5325902444957238,0
where did you hit her ?,i know her a stomach .,0.43672540050465614,1
where did you hit her ?,home . there s the stomach .,0.8406719479632253,2
where did you hit her ?,right . there the stomach .,0.8349916930310428,3
where did you hit her ?,on the chest him home .,0.747104097623378,4
that wasn t my fault .,who was the with about with your bumper .,0.7349031689492151,0
that wasn t my fault .,you was the with on it .,0.7575127863221698,1
that wasn t my fault .,but he was with it .,0.8761554770171642,2
that wasn t my fault .,you was with it on it .,1.1269881325877376,3
that wasn t my fault .,what was wrong with it ?,0.7656485175248235,4
oh i forget . sorry .,thank you . i m . coming .,1.1889103673398496,0
oh i forget . sorry .,no wait . get a,0.9032527846949441,1
oh i forget . sorry .,i said a . !,0.8088206308228629,2
oh i forget . sorry .,no my i . !,0.734883861882346,3
oh i forget . sorry .,no my was . !,1.3246902802160807,4
it was on the tv .,where did the story better ?,0.7715963154914789,0
it was on the tv .,so it s a time off,0.6956531973555684,1
it was on the tv .,did the police story ?,0.5115536281040737,2
it was on the tv .,so it was a story off ?,0.5097801561156908,3
it was on the tv .,did the story on off ?,0.6097327284514904,4
i will be voting tomorrow .,where are you going to be ?,0.47191998693678117,0
i will be voting tomorrow .,where are you going ?,0.26235551945865154,1
i will be voting tomorrow .,and sure ? when be !,0.8006645292043686,2
i will be voting tomorrow .,all sure i will .,0.7870182059705257,3
i will be voting tomorrow .,will you be fine ?,0.6257171471204076,4
stand still miss jenny !,we re twenty here .,0.5634695405938795,0
stand still miss jenny !,we were a dead .,0.550547377073339,1
stand still miss jenny !,we were losing a business .,0.4441841645166278,2
stand still miss jenny !,we were a dead .,0.5422070760812078,3
stand still miss jenny !,we were losing a business .,0.38303390541113913,4
not if you don t want to .,well isn t there anything you want ?,0.1294780097246985,0
not if you don t want to .,well isn t there anything you want ?,0.3408384019683581,1
not if you don t want to .,well then can you find me then ?,0.5909497399152315,2
not if you don t want to .,well then you want you with then ?,0.46474046577495753,3
not if you don t want to .,well want t you want to tell ?,0.6466296619793865,4
surely there are other ways to save money .,what are you talking about we tried everything !,0.3939701250332787,0
surely there are other ways to save money .,we re everything ! what we tried !,0.7859503991901875,1
surely there are other ways to save money .,but we ! we re we ! everything !,1.11984742647829,2
surely there are other ways to save money .,we re ! we re we on everything !,0.8354560326624778,3
surely there are other ways to save money .,but ! we are we ! tried !,0.7047275608405471,4
that is exactly what we re looking for .,well each room is dollars is,0.5061380579136312,0
that is exactly what we re looking for .,well each room is dollars a week .,0.08267793901322876,1
that is exactly what we re looking for .,well each room is dollars,0.7736459182841438,2
that is exactly what we re looking for .,that s room a dollars .,0.7474879268556833,3
that is exactly what we re looking for .,well each room is dollars,0.4687423365456717,4
this is three years old .,what s it doing about ?,0.49311127257533377,0
this is three years old .,what s it go year ?,0.5503315790556371,1
this is three years old .,it s a look . s a year .,1.2672548219349964,2
this is three years old .,what s it look about ?,0.6165499752387404,3
this is three years old .,it s my friend board .,0.7045213647070341,4
out for the evening ?,we re never you .,1.070401621716363,0
out for the evening ?,we re nuts . he s behind way .,1.042370803908222,1
out for the evening ?,i cannot never you he were my wife .,1.0718975742771126,2
out for the evening ?,we ll cannot know that from my wife .,1.046657602387401,3
out for the evening ?,i don t had playing from my sir .,0.8809697571983189,4
anything else mr . smith ?,gracious is professor . the person .,0.5522604001065096,0
anything else mr . smith ?,no . person in the,0.4818384679300444,1
anything else mr . smith ?,sit . till in .,0.8388590299790459,2
anything else mr . smith ?,sit person . in .,0.4875308094280107,3
anything else mr . smith ?,all . this is all .,0.6803174591623247,4
look maybe that s him !,so what does he think ?,0.5536857254337519,0
look maybe that s him !,he s so look about that .,0.5993731479263968,1
look maybe that s him !,he s that does ? .,0.6499077472835779,2
look maybe that s him !,it s so like for him .,0.7588698006648984,3
look maybe that s him !,i think that s a .,0.6471338558476418,4
you re an animal .,who was that harry from that ?,0.507390073604054,0
you re an animal .,you ever you know that harry,0.7654776722192764,1
you re an animal .,you ever t me psychotic me,0.9233645834028721,2
you re an animal .,you ever telling me harry .,0.7240417124703526,3
you re an animal .,you did know what harry .,0.6657483999733813,4
why do you like it best ?,i enjoy the various characters and the plot .,0.18063066788664112,0
why do you like it best ?,it is the various characters and the plot .,0.6379265179011058,1
why do you like it best ?,on the like the if it s plot .,0.6927953897552083,2
why do you like it best ?,if i the various if it s plot .,0.7196739815514248,3
why do you like it best ?,on the is the and the . plot .,0.965058708055458,4
their real names please .,ok i ll be ready in still harper .,0.535617372941821,0
their real names please .,yes i m still ready in still harper .,0.5985914638255694,1
their real names please .,yes my sieu are not sieu .,0.7789412207073636,2
their real names please .,all in sieu ready you re still stuff .,0.8888200081207639,3
their real names please .,maybe you won be ready in .,0.7994583425008588,4
why did the chicken cross the road ?,i don t know .,0.31580828090331386,0
why did the chicken cross the road ?,i don t know why ?,0.17239912504373933,1
why did the chicken cross the road ?,i don t know why ?,0.2066957509960048,2
why did the chicken cross the road ?,i don t know why ?,0.19332394732919056,3
why did the chicken cross the road ?,i don t know why ?,0.12840731797041371,4
can i help you ?,no thanks . i need a please .,0.8563068722374737,0
can i help you ?,yes thanks . for . a,0.7782565914094448,1
can i help you ?,yes i m . a .,1.0064552575349808,2
can i help you ?,yes i m not . a,0.9267306132242085,3
can i help you ?,yes i . not . a,0.8703465331345797,4
do you believe i love you ?,this course very key .,0.7061251997947693,0
do you believe i love you ?,what s me mother ?,0.7095708101987839,1
do you believe i love you ?,that s too mother me .,0.87693658657372,2
do you believe i love you ?,that s a mother me .,0.8308046590536833,3
do you believe i love you ?,what s that mother me mother ?,0.7006824024849467,4
give me one bottle of one hundred tablets .,and i ll recommend you out as one ?,0.6621688704266572,0
give me one bottle of one hundred tablets .,ok i ll try you to get one ?,0.8156944625079942,1
give me one bottle of one hundred tablets .,you ll get out of kind of one ?,0.5715559003029139,2
give me one bottle of one hundred tablets .,you ll like out of kind of money ?,0.7287689525296525,3
give me one bottle of one hundred tablets .,no ll get some money of some money .,0.5118106414819088,4
jimmy what are you doing ?,i need going to need a .,0.6242616044150459,0
jimmy what are you doing ?,i m going to keep .,0.680003110319376,1
jimmy what are you doing ?,i need to go if .,1.0177807196741924,2
jimmy what are you doing ?,i m you go .,0.8378972512270723,3
jimmy what are you doing ?,i m in if you .,1.086797684431076,4
are their cards free too ?,i can have to them anything .,0.6090812756059071,0
are their cards free too ?,i can have change down .,0.9810216776095331,1
are their cards free too ?,i can t change to .,0.6426833139266819,2
are their cards free too ?,i can t like it .,0.3607003572396934,3
are their cards free too ?,i can t change to .,0.6020864092279226,4
you shouldn t play this game .,then we ll get treat just the it .,0.9317459195683362,0
you shouldn t play this game .,we ll beat not get on with thing .,0.9244776353748033,1
you shouldn t play this game .,then we ll beat a lot of thing .,0.762211080301893,2
